id,name,description,exercise_type,default_duration,muscle_groups,base_tags,benefits,limitations,suggested_combinations,catalogs
snatch-high,Snatch High Pull,"With a wide (snatch) grip, explosively pull a barbell from floor to chest height by extending hips and shrugging, keeping elbows high (like the first part of a snatch without the overhead catch).",repetition_based,,hamstrings|glutes|traps|quads|lower-back,,"Develops explosive pulling power and strength in the posterior chain especially hamstrings, glutes, and lower back as well as the upper back and traps which are used to pull the bar high. It reinforces proper snatch technique (powerful hip extension and upright high elbows) for weightlifters, and even for general training it builds upper-body power and trap development. Improves coordination of triple extension (ankles, knees, hips) without the complexity of the full snatch. Over time it increases total body power output, benefiting athletic performance in jumps and pulls, and contributes to upper back strength and shoulder stability by dynamically engaging those regions.","Requires good form to avoid injury: maintain a flat back and keep the bar close to your body; arms should only bend after hip extension is complete (don't turn it into an upright row from the start). Use moderate weights until technique (timing of hip explosion and elbow lift) is mastered. Avoid leaning back or pulling too much with the arms focus on legs and hips doing the work then just guiding with arms. Straps can be used if grip is limiting, but ensure not to sacrifice technique for load. Those with limited shoulder or ankle mobility should work on that concurrently, as proper positioning is important (e.g., start like a deadlift/squat combo). If lower back tightness occurs, lighten the weight and check form (could indicate using back instead of legs).",squats|burpees,general-fitness
press-under,Press Under,"From a barbell on the front rack (shoulders), dip quickly and 'press' yourself under the bar, catching it overhead in a partial squat (as in a push jerk).",repetition_based,,legs|core|shoulders|upper-back|triceps,,"Trains the explosive **drive and catch phase** of lifting overhead (similar to a push jerk) developing upper-body power and speed under the bar. It teaches coordination: rapidly dropping into a squat while locking the bar overhead. Builds strong, stable shoulders and triceps from catching and holding the weight overhead. Also improves core and leg power by using the quick dip and drive from the legs. Essentially, it increases the amount of weight one can put overhead by utilizing the lower body and speed, and enhances athletic qualities like timing and agility.","Complex movement master push press and basic jerks first. Keep torso upright during the dip; if you lean forward, the bar will go out front. Use only a light to moderate weight until timing is perfected; incorrect timing or footwork can cause missed lifts or injury. Your grip and shoulder mobility should allow a quick transition to locked arms if shoulder mobility is lacking, work on that to avoid strain. Those with shoulder impingement should be cautious, as the rapid overhead press can aggravate it. Always use bumper plates or spotters for safety if you need to bail. Land with knees bent to absorb the load, not stiff-legged. Breathe and brace on the dip, but avoid holding breath too long through multiple reps to prevent dizziness.",push-ups|squats,general-fitness
lever-stepper,Lever Stepper,"Use a lever (machine) stepper: stand on the pedals and grip the handles, then perform stepping motion (one foot presses down as the other rises) in a smooth rhythmic manner.",time_based,60,quads|glutes|hamstrings|calves,,"Provides a low-impact cardio workout focused on the lower body. Simulates stair climbing or stepping to strengthen quads, hamstrings, glutes, and calves while raising heart rate. Using the lever handles can also involve the upper body slightly, increasing oxygen demand. Great for improving lower-body muscular endurance and cardiovascular fitness with minimal joint impact. Also improves coordination between arms and legs if handles are moving. It's an effective calorie-burning exercise that also trains functional movement patterns similar to climbing stairs, thereby potentially improving everyday stamina for activities like stair navigation.","Maintain an upright posture and avoid leaning heavily on the handles (if present) using them too much can reduce the exercise's effectiveness and might strain wrists/shoulders. Start with a comfortable stepping rate; too fast can cause you to lose form. If the machine allows resistance adjustments, begin low to get used to the motion. People with knee issues should monitor discomfort the step motion is generally low-impact, but high resistance might aggravate some conditions. As always, stay hydrated and step on center of pedals to avoid any ankle rolling. Keep movements smooth; do not lock knees. And if you feel dizzy or excessive strain, slow down or take a break (especially when first incorporating new cardio equipment).",jumping-jacks|marching-in-place,general-fitness
seated-neck-tap,Seated Neck Tap,Sit upright. Tilt your head to one side and gently tap the side of your neck (just below ear) with your fingertips. Repeat on the other side. (This combines a light stretch with tapping massage.),repetition_based,,flexibility|neck,,"Helps relieve tension in the neck muscles (especially upper trapezius and sternocleidomastoid) by combining a gentle stretch (tilting head) with light percussive massage (tapping). The tapping increases blood flow and can encourage the tight muscles to relax. This can improve neck mobility (side-bending range) and reduce feelings of stiffness or stress-related tightness in the neck and shoulders. It's a simple exercise that promotes relaxation and can be done anywhere, making it useful for quick relief from desk work stiffness or anxiety-related neck tension.","Perform the movement gently the neck is sensitive, so the tilt should be mild (just until a stretch is felt) and the taps should be light finger taps, not slaps. Avoid tapping directly on the spine or front of throat stick to the side muscles. Keep shoulders down while tilting to avoid shrugging and getting less of a stretch. If you have a serious neck condition (like a pinched nerve or cervical spine injury), do not perform without medical advice. Breathe slowly as you do it, since it's as much about relaxation as mobility. If any pain (beyond mild discomfort/stretch) occurs, stop the movement.",neck-rolls|shoulder-rolls,general-fitness
elbow-flexion,Elbow - Flexion (Articulations),"Stand or sit with one arm extended forward, palm up. Bend the elbow, bringing palm toward shoulder (like a biceps curl with no weight), then straighten arm. Repeat slowly.",repetition_based,,mobility|biceps,,"Maintains and improves range of motion in the elbow joint by repeatedly bending and straightening it. Gently engages the biceps and brachialis without weight, promoting synovial fluid movement and blood flow in the elbow. Regular elbow articulations can help prevent stiffness, especially important if you've been immobilized or after long periods of desk work. It's useful as a warm-up before resistance exercises (like curls or push-ups) to 'grease' the elbow joint. Also valuable in rehabilitation to restore normal elbow movement post-injury. Overall, it primes the elbow for activity and can help detect any soreness or tightness before loading the joint.","Move through a pain-free range: if you have an injury or arthritis and full flexion/extension hurts, only go as far as comfortable. Don't force the elbow to fully lock out if it causes hyperextension discomfort; just straighten to normal. Keep shoulder relaxed; only the forearm should move (avoid swinging your whole arm). Because it's easy, some might go very fast but control is better to actually warm the joint. Those with very loose joints should avoid snapping the elbow straight to prevent overstretching. Breathe normally and don't hold your breath (people sometimes do even in simple moves).",arm-circles|arm-circles,general-fitness
side-kick-burpee,Side Kick Burpee,"Do a standard burpee (squat down, jump to plank, push-up optional, jump feet back in) and as you stand up, throw a side kick with one leg. Alternate the kicking leg each burpee.",repetition_based,,quads|glutes|shoulders|core,,"Combines the full-body conditioning of a burpee with a martial-arts-style side kick for added leg power and lateral core engagement. Great for cardiovascular endurance and calorie burn, as burpees elevate heart rate rapidly. The side kick specifically works the hip abductors (glute medius), quads, and core (for stability during the kick) while also improving balance and agility. This move increases functional strength by training explosive leg power in the kick and total-body coordination. It's a high-intensity exercise that develops athleticism (the ability to go from ground to jumping to kicking) and can spice up a burpee routine by adding variety and an extra challenge to the legs and core.","High-intensity and complex: ensure you can do burpees with good form and have basic kicking technique before combining. When kicking, don't lock your knee at full extension extend it forcefully but under control to avoid joint strain. Pivot on the supporting foot and lean slightly away when kicking for balance (like proper kick technique). Those with knee or ankle issues should step back instead of jump back in the burpee and perform a low chamber kick rather than explosive high kick. Do not sacrifice form for speed; a sloppy kick or burpee can lead to injury. If space is an issue, be very mindful of your surroundings when kicking. As this is plyometric, make sure you're warmed up and land softly in each phase to protect joints.",jumping-jacks|mountain-climbers,general-fitness
butterfly-pull-up,Butterfly Pull-up,"Hang from a pull-up bar and perform kipping pull-ups with a continuous circular motion (the 'butterfly' technique), allowing for faster, cyclic reps using hip momentum.",repetition_based,1,lats|biceps|upper-back|core,,"Allows faster cycling of pull-ups, useful in CrossFit-style workouts to achieve more reps quickly. Primarily still works the latissimus dorsi, biceps, and upper back like a pull-up, but by using a cyclic kip, it also heavily engages the core and hip flexors to generate momentum. The benefit is improved muscular endurance and grip endurance you can do more pull-ups before fatigue by distributing effort. It also trains coordination and rhythm. While not as strict-strength-building as dead-hangs, butterfly pull-ups build a kind of functional stamina and teach efficient body movement. They are particularly useful for competitive fitness scenarios where economy of motion is key. Over time, practitioners develop better grip strength, aerobic capacity in upper body, and efficient kip timing.","This is an advanced technique and should be learned only after mastering strict and kipping pull-ups attempting butterfly pull-ups without sufficient strength or technique can lead to injury (hands tears, shoulder strain). Form is crucial: a poor butterfly can stress the shoulders. Make sure to maintain an active shoulder (don't fully relax at bottom) to protect joints. Use chalk or grips to prevent hand tears when practicing lots of reps. Stop when grip fails falling off the bar is a risk if you push too far. Shoulders should move in a controlled circular path; if you feel a jolt or catch, reset. People with any shoulder impingement or instability should avoid high-rep kipping to prevent aggravation.",brachialis-pull-up|dead-bug,general-fitness
front-scoops,Front Scoops,"Stand with one leg forward (heel on ground, toes up). Hinge at the hips and 'scoop' your arms down toward that foot, feeling a hamstring stretch, then rise and switch legs moving forward (dynamic hamstring stretch).",repetition_based,,flexibility|hamstrings|calves,,"A dynamic hamstring stretch often used in warm-ups to loosen the posterior chain. By 'scooping' down with arms, you actively stretch the hamstrings and calves of the front leg in a controlled motion, while also engaging the lower back and core to stabilize. It improves hamstring flexibility and prepares the muscles for exercise by mimicking the motion of a shallow toe-touch in motion. Also raises body temperature slightly and reinforces good hinging form (hips back, flat back). Regularly doing front scoops can increase your range of motion in hamstrings, aiding performance in running, kicking, and bending movements and helping prevent hamstring pulls, especially when done prior to activity.","Keep the movement flowing; avoid bouncing aggressively at the bottom to prevent muscle strain. Your reach should go until you feel a stretch in the hamstring you don't actually have to touch your toes or the ground if you're not flexible enough. Ensure your front knee is slightly bent (not locked) to protect it and to focus stretch on muscle, not just tendon. Maintain a flat back during the scoop (don't round excessively) to distribute stretch and avoid lower back strain. People with existing hamstring injuries should do this very gently or stick to static stretches until healed, as the dynamic nature could aggravate a not-yet-healed tear. Shoes with good support or doing it on even ground is recommended to prevent slips during the transition of legs.",lunges|high-knees,general-fitness
shoulder-flexion,Shoulder - Flexion (Articulations),"Stand or sit with arms at your sides. Keeping arms straight, raise them forward and up above your head (palms facing in) as far as comfortable, then lower back down. Repeat slowly.",repetition_based,,shoulders|mobility,,"Helps maintain and improve overhead range of motion by moving the shoulders through full flexion (overhead reach). It warms up the shoulder joint and lightly engages the front deltoids and traps without weight. This can improve posture (many people are tight and struggle to fully raise arms) and prepare the shoulders for exercises or daily tasks involving reaching up. Regular shoulder flexion movements can prevent stiffness from desk work and reduce risk of shoulder impingements by keeping the joint mobile and muscles balanced. Also, by actively raising arms, you're activating the serratus anterior and trapezius in their upward rotation function, which can improve shoulder blade mobility and stability.","Perform the raises in a pain-free range; if you feel pinching as arms near ears, only go to just before that point don't force through sharp pain. Avoid arching your lower back as you lift keep core engaged to isolate the movement to your shoulders. Keep movements slow and smooth; this isn't about swinging the arms. If you have a shoulder injury or very limited range, you might do this lying down (on back) initially or with one arm at a time to focus. Also ensure you're not shrugging excessively let shoulder blades rotate naturally but not up into ears too much. Breathe normally and avoid holding breath as you concentrate.",shoulder-rolls|wall-sit,general-fitness
shoulder-transverse-flexion,Shoulder - Transverse Flexion (Articulations),"Stand with arms out to sides at shoulder height (like a T). Keep arms straight and bring them forward and together in front of you (like giving a hug), then return to the T. Alternate which arm is on top each time.",repetition_based,,chest|shoulders|mobility,,"Improves horizontal adduction flexibility of the shoulders and stretches the upper back. By opening and closing the arms (like a hug), you activate and stretch the pectoral muscles when arms are back, and stretch the rhomboids and rear delts when arms come forward. This helps maintain shoulder joint mobility in the transverse plane, which is important for healthy shoulders and posture. It can reduce tightness in the chest and front of shoulders (which often pull shoulders forward) and alleviate mild upper back tension by expanding those muscles. It's a gentle dynamic chest opener and upper back stretch that also mildly warms up the shoulder joints and muscles.","Keep the movement controlled and avoid jerking your arms. When bringing arms back to the T, don't force them too far past your body line you should feel a mild stretch in the chest, but not strain. If you have shoulder injuries or a history of dislocations, be cautious about the extreme end-ranges (especially the open T position); keep it within comfort. Ensure arms stay at shoulder height not drooping to target the right areas. Also avoid shrugging. If any shoulder impingement symptoms occur (like a pinch when arms forward), limit how far you cross them. Maintain an upright posture; don't let the chest collapse when arms come forward.",shoulder-rolls|shoulder-rolls,general-fitness
forearm-supination,Forearm - Supination (Articulations),"Stand or sit with elbows bent 90° at your sides, forearms extended forward. Rotate your forearms to turn palms up (supination) then palms down (pronation). Repeat.",repetition_based,,forearms|mobility,,"Enhances rotational mobility of the forearm (the radius and ulna twisting). Helps prevent stiffness in movements like turning a doorknob or screwdriver by working the pronator and supinator muscles in a gentle manner. It can improve overall forearm flexibility and can aid in rehab for elbow or forearm injuries by restoring normal pronation/supination range. Also warms up the wrist and elbow joints through the associated movement. Regular practice can reduce tension for those who do repetitive motions (like typing or wrenching) by moving joints through their full range, potentially decreasing risk of overuse injuries. It's a simple drill to keep the forearms and wrists agile and blood flowing through those smaller muscles.","Only rotate as far as comfortable some people have more range. Avoid forcing your hands palm-up if your flexibility stops before fully up; with consistent practice range will improve. Keep elbows at your sides to isolate the movement to the forearm; if elbows drift, you're involving the shoulder. If you have existing forearm tendinitis (golfer/tennis elbow), do this motion slowly; fast rotation can sometimes irritate it. Breathe normally and relax your hands (no need to clench fists). If any pain (not just tightness) occurs, shorten the range or stop some injuries may require more gentle or assisted movements at first.",arm-circles|arm-circles,general-fitness
brachialis-pull-up,Brachialis Pull-up,"Hang from a bar with an underhand (chin-up) grip at shoulder-width. Pull up until chin is over bar, focusing on the tension in your arms, then lower down. (A narrow underhand pull-up targeting brachialis.)",repetition_based,,lats|biceps,,"Emphasizes the brachialis muscle (deep elbow flexor) due to the underhand close grip, while still working the lats and biceps like a standard chin-up. By using a moderate shoulder-width supinated grip, it shifts more load to the arms (brachialis and biceps) and slightly less to the broad back muscles, making it great for arm strength and development. Strong brachialis adds to overall pulling power and arm size (it lies under the biceps and can push them up). Still, it engages the lats and middle back significantly, contributing to upper-body strength. Overall, this variation can improve your chin-up numbers and pulling endurance, and place extra stimulus on the arms for hypertrophy.","As with any pull-up, use full range of motion but avoid fully locking out and relaxing at the bottom as that can strain elbows; keep shoulders engaged. An underhand grip can put more pressure on wrists ensure wrists are warmed up and you grip the bar firmly. Those with wrist or elbow tendinitis might prefer a neutral grip instead to reduce strain. Do not swing or kip; keep it strict to really hit the brachialis. If you cant complete a rep with good form, use a band or assist until stronger don't strain and risk a tendon injury by forcing reps. Also, avoid flaring elbows out; keep them pointing forward to target arms more and protect shoulders.",brachialis-pull-up|brachialis-pull-up,general-fitness
brachialis-narrow-pull-up,Brachialis Narrow Pull-ups,"Hang from a bar with a very close underhand grip (hands only a few inches apart). Pull up until chin is over bar, then lower. (An extreme close-grip chin-up emphasizing arms.)",repetition_based,,lats|biceps,,"The extremely narrow, supinated grip shifts the pull-up focus even more to the elbow flexors (brachialis and biceps), while still engaging the lats. This intense arm positioning can heighten brachialis activation due to mechanical disadvantage of lats in that position. Its great for targeting the inner portion of the biceps and brachialis for strength and hypertrophy. Youll also involve the forearms heavily (for grip and supination effort). Overall it builds upper-body pulling strength, but is often used as an arm specialization exercise. It can also highlight any left-right strength imbalances if one arm tends to dominate in the close grip. Building strength here can carry over to stronger standard pull-ups and improve arm muscularity.","The close hand position can be stressful on wrists ensure a thorough warm-up and don't force the hands too close if it causes pain; a gap of 4-6 inches between index fingers is a common compromise. Elbows will naturally flare a bit at the top; that's okay, but start the pull keeping them forward. Avoid momentum or kipping, especially because the narrow base makes shoulders vulnerable to twisting if you swing. If you feel any inside elbow pain (tendons), stop this grip can aggravate tendinitis if overdone. Start with low reps to adapt the joints. Use assistance if you cannot do at least ~5 clean reps to avoid straining with poor form. As always, shoulder blades should move smoothly (retract at top, protract at bottom) don't lock them out sloppily.",brachialis-pull-up|brachialis-pull-up,general-fitness
prayer-push,Prayer Push,"Stand or sit upright. Press your palms together in front of your chest (prayer position). Push them firmly against each other and slowly raise them overhead while maintaining pressure, then return to chest level. This engages chest isometrically.",repetition_based,,chest|shoulders|triceps,,"Primarily provides an isometric contraction for the chest (pectorals) and front shoulders by pressing the palms together. It helps activate and strengthen the chest muscles without any equipment useful for beginners or as an activation drill. Overhead movement adds a bit of shoulder mobility and engages shoulder stabilizers and triceps lightly. While it won't replace heavy presses for maximal strength, it can improve mind-muscle connection in the chest, and for some can modestly increase chest endurance and tone when performed for time or high reps. It's also a safe way for those with certain injuries (who can't do push-ups or weights) to maintain some chest engagement. Additionally, it can stretch the chest slightly at the top range (if elbows go out) and might aid in maintaining shoulder flexibility.","Because it's isometric, be mindful of breath do not hold your breath the entire time you're pressing your palms; breathe continuously to avoid a blood pressure spike. Keep shoulders down (don't shrug) while pressing to focus tension on chest. If you have wrist issues, pressing palms can be uncomfortable you can instead interlock fingers and press palms of fingers and heels of hands together, or even do it with fists. Those with very high blood pressure or prone to headaches should not push extremely hard for long durations, as isometric strain can elevate BP. Press firm but not to the point of joint pain in wrists or excessive tremor a moderate 70-80% effort sustained is fine. If any shoulder pain when raising arms, limit the overhead part and just press at chest level.",wall-push-up|shoulder-rolls,general-fitness
lying-prone-w-to-y,Lying Prone W to Y,"Lie face down with arms bent, elbows by sides (W shape). Lift chest slightly and raise arms off floor, then extend arms forward into Y position overhead. Return arms to W and lower.",repetition_based,,upper-back|shoulders,,"Strengthens the mid/lower trapezius and rhomboids by squeezing shoulder blades in the W position, then the lower traps and shoulders by reaching into the Y. Excellent for improving posture and counteracting rounded shoulders by activating the back muscles that pull the shoulder blades down and back. Also strengthens the rear deltoids and rotator cuff stabilizers. It improves shoulder blade mobility and stability, aiding overhead movements. As a bodyweight exercise, it's low-load and focuses on endurance and coordination of the upper back muscles, which can help alleviate neck and shoulder tension caused by slouching. Overall, it's great for scapular stability and posture correction.","Keep the movements small and controlled don't swing your arms. If you have limited shoulder range, your Y might not touch the floor; that's okay, just lift as high as comfortable. Focus on squeezing shoulder blades (pinch in W, then rotate arms up to Y). Those with shoulder impingement should be cautious; if lifting arms overhead causes pain, limit how far you go into the Y or just work the W pulls until strength improves. Keep your chin tucked (looking at floor) to avoid neck strain. If lower back feels strained lifting chest, you can keep chest on floor and just move arms; as strength increases, a slight chest raise will add more benefit. Quality is key better to do fewer reps with correct muscle activation than many cheating reps.",shoulder-rolls|shoulder-rolls,general-fitness
palm-up-palm-down-rotation,Palm Up - Palm Down Rotation,"Extend one or both arms forward at chest height. Rotate the forearm(s) so palm goes from facing up to facing down, and repeat (like turning a doorknob back and forth).",repetition_based,,forearms|mobility,,"Encourages and maintains flexibility in forearm pronation and supination (rotational movements). It's similar to forearm supination exercise, but often done standing and alternating continuously, which can also lightly strengthen the forearm rotators (supinator and pronator muscles) and increase blood flow. This helps in daily tasks requiring rotation (using tools, turning keys) and prevents stiffness. The high-rep rotation can serve as a mild warm-up for wrists and elbows, reducing the risk of sprains or epicondylitis by ensuring those muscles and tendons aren't tight. It's an accessible mobility drill to keep forearms healthy, especially beneficial for those with repetitive pronation/supination strain (like electricians, mechanics, etc.).","Keep movements smooth; don't yank your wrists at the end ranges. If any clicking or discomfort in the elbow, make the rotation smaller and more gradual. This exercise is gentle, but overdoing extremely high reps too fast might cause forearm muscle fatigue or irritation, so build up volume over time. If doing both arms simultaneously out front causes shoulder strain, do one at a time or with elbows at your sides (similar to earlier forearm exercise). Ensure you aren't clenching fists too hard; stay relaxed to focus on mobility. People with elbow or radial head injuries should check with a professional, but often this is part of rehab (just done slowly and carefully).",arm-circles|brachialis-pull-up,general-fitness
air-twisting-crunch,Air Twisting Crunch,"Lie on back with legs raised (knees bent). Lift shoulders and twist, bringing right shoulder toward left knee, then alternate left shoulder to right knee (like bicycle crunch without pedaling legs).",repetition_based,1,abs|obliques|core,,"Engages the entire abdominal wall, particularly targeting the obliques through the twisting motion. The crunch component activates the rectus abdominis (six-pack muscles), while the rotation engages internal and external obliques. Keeping legs raised adds lower ab engagement isometrically and prevents rest between sides, increasing intensity. It's an effective move for building core strength and definition because it combines flexion and rotation (hitting abs from multiple angles). It also improves core coordination (moving upper body and lower body oppositely) which can benefit functional movements. Many find this exercise really helps in toning the waist due to the oblique focus, and it can be done without any equipment, making it a staple in many ab routines or circuits.","Maintain pressure of your lower back towards the ground to avoid arching and straining it. If you feel your neck straining, ensure you are leading the motion with your shoulder (not just elbow) and support your head lightly with one hand (not yanking). Avoid using momentum; it's better to perform it slowly and deliberately for maximal muscle engagement (too fast can rely on momentum and risk form breakdown). Those with lower back issues can modify by keeping knees more bent or feet on floor in a basic bicycle crunch. Also, breathe out on each twist up to properly engage deep abs and obliques. Stop if you feel any sharp pain in back or hips slight discomfort in abs as they work is normal, but pain is not.",bicycle-crunches|russian-twists,general-fitness
standing-swimmer,Standing Swimmer,Stand with arms extended forward. Mimic a swimming stroke: either alternate arm circles (freestyle) or simultaneous broad arm sweeps (breaststroke) in a continuous motion.,time_based,30,shoulders|upper-back|mobility,,"Acts as a dynamic warm-up for the shoulders and upper back by mimicking swimming motions. The large arm circles/sweeps improve shoulder joint mobility and engage the shoulder muscles (rotator cuff, deltoids) across a wide range. It also promotes coordination and a gentle increase in heart rate. For those who swim, it activates relevant muscles on land. For others, it serves to open the chest (especially with breaststroke motion) and loosen tight lats and pecs while engaging the mid-back. Overall, it enhances flexibility of the shoulders (especially in circumduction) and can help reduce shoulder stiffness. As a low-intensity movement, it can also help relieve mild shoulder fatigue or stress by 'shaking out' the muscles in a controlled way.","If doing forward crawl motion, ensure you have space because one arm will be back while the other is forward. Move within a comfortable range some people with shoulder impingement might find full overhead circle painful; if so, reduce range or do more of a breaststroke (which stays below shoulder level mostly). Keep movements fluid, not jerky, to avoid muscle strain. If you have a history of shoulder dislocations, be cautious with the extreme ranges of a full circle; perhaps stick to partial circles. And as always, don't do it so fast that you lose form or risk pulling something this is mobility, not max-speed flailing. Breathe continuously; it's easy to accidentally hold breath when focusing on coordination.",arm-circles|standing-side-crunch,general-fitness
3-4-sit-ups,3/4 Sit-Up,"Lie on your back with knees bent. Perform a sit-up but stop about 3/4 of the way up (before sitting fully upright) to keep tension on abs, then lower back down.",repetition_based,,abs|core,,"By not going all the way up, the abs remain engaged throughout the movement, making it more effective for building abdominal endurance and strength in the targeted mid-range. This reduces hip flexor involvement compared to a full sit-up, placing more load on the abs and less on the lower back. It's a good progression for those transitioning from crunches to full sit-ups, and it allows you to focus on the abs without momentum. The constant tension approach can lead to better muscle fatigue in the abs (often felt as the 'burn'), which is beneficial for muscle toning and endurance. It's also easier to maintain form vs. a full sit-up, as you're less likely to swing or jerk. Overall, a 3/4 sit-up effectively works the rectus abdominis while being a bit safer on the spine and neck than the full sit-up.","Even though you don't sit all the way up, avoid pulling on your neck. Keep your hands gently behind your head or crossed on your chest to prevent neck strain. Ensure your lower back stays relatively flat (not hyper-arched) at the bottom of each rep if it arches excessively, you might be going too low or relaxing completely (try maintaining slight pelvic tilt). Those with lower back issues or very weak abs might still feel strain they should stick to smaller crunches until stronger. And as always, use controlled movement; don't bounce at the bottom or use momentum to rise that cheats the abs and might strain the back. Breathe out as you come up, in as you go down to avoid holding breath.",bicycle-crunches|plank,general-fitness
alternate-lying-floor-leg-raise,Alternate Lying Floor Leg Raise,"Lie on back with legs straight. Keep one leg on floor as you raise the other straight up, then lower and switch legs. (One-leg-at-a-time leg raises.)",repetition_based,,abs|core|hip-flexors,,"Strengthens the lower abdominals and hip flexors by lifting one leg at a time, which is more accessible than lifting both together. This exercise also challenges the core to keep the torso stable while the legs move alternately, engaging the transverse abdominis and obliques as stabilizers. Alternating legs reduces strain compared to double leg raises, making it suitable for building up strength. It helps improve pelvic control and lower abdominal endurance. Over time, it can serve as a progression toward full two-leg raises. It also stretches the hamstring of the active leg slightly at the top of the motion. Overall, it's effective for targeting the lower abs with reduced risk of lower back arching, given one leg stays down for support.","Press your lower back towards the floor throughout the movement if you feel it arching off the floor as a leg lowers, don't lower that leg as far or keep a slight bend in the knee. Move slowly; dropping the leg too fast could strain the back or use momentum. If flexibility is an issue and you can't keep the non-lifting leg straight on the ground, you can bend it (foot flat) for now. Those with very weak lower abs or back issues might start with bent-knee marches before straight-leg raises. As always with lower ab exercises, avoid jerking your hips. Breathe out when lifting, in when lowering to maintain core engagement. Stop if you feel any sharp pain in the lower back slight discomfort from muscle work is okay, but pain is not.",bicycle-crunches|dead-bug,general-fitness
assisted-lying-leg-raise-with-lateral-throw-down,Assisted Lying Leg Raise With Lateral Throw Down,"Lie on back and hold onto a partner's ankles or a sturdy object overhead. Raise both legs up. Partner pushes your feet toward one side (diagonally down); resist and bring legs back up. Repeat with partner pushing to opposite side, alternating.",repetition_based,,abs|core|obliques|hip-flexors,,"Highly engages the entire core, with emphasis on the lower abs and obliques, by adding an unpredictable lateral force. The partner's throw not only requires you to resist the downward motion (hitting the lower abs hard, like a leg raise), but also the sideways component, which forces the obliques and transverse abdominis to stabilize against rotation. This leads to improved core strength in multiple planes and better reactive core stability (useful in sports). It's a very intense exercise that also has a conditioning aspect (because resisting strong movements raises heart rate). Common in martial arts and boxing gyms, it builds the ability to take and control external forces using the core. Overall, it's excellent for advanced core development, hitting hip flexors, lower abs, upper abs (for bracing), and obliques all in one.","This is an advanced move you should be very comfortable with regular leg raises and have a strong core. Communication with the partner is key: they should apply firm but controlled force, not a sudden jerk that could injure you. Start with moderate pushes until you know you can handle more. Keep your lower back pressed into the floor especially when legs are thrown down; if you feel it hyperextend or you lose control, stop or have partner reduce force. Do not let your legs actually slam to the floor the goal is to catch them before and lift back up. Breathe (exhale) when pushing legs back up. Those with lower back problems or weak core should avoid this until stronger. Also, do equal throws to both sides to avoid imbalances.",dead-bug|bicycle-crunches,general-fitness
kneeling-thoracic-spine,Kneeling Thoracic Spine Extension,"Kneel on all fours facing a bench. Place elbows on bench, hands together. Sink your chest down and head through your arms, stretching your upper back. (Like a prayer stretch for thoracic spine.)",time_based,20,flexibility|upper-back|shoulders,,"Targets the thoracic spine mobility by stretching the upper back into extension and the shoulders into flexion. This helps improve posture (countering forward slouch) and can alleviate upper back and neck stiffness. It also stretches the lats and triceps to some degree because you're reaching with elbows on bench and sinking down. By improving thoracic extension, overhead movements (like presses or front squats) become easier and less compensations occur in the lower back. This stretch is excellent for those who sit a lot or have a rounded upper back, as it opens the chest and mobilizes the spine. Additionally, it can relieve tension around the shoulder blades. Many report feeling an immediate reduction in tightness in the mid-back after doing this stretch, and it fits well in warm-ups or cool-downs for upper body sessions.","Be gentle and don't force your chest to the floor ease into the stretch until you feel a good pull in your upper back or shoulders. Keep your elbows about shoulder-width apart on the bench and don't let them flare too wide which might strain shoulders. If you have shoulder impingement, this position (arms overhead) might be uncomfortable you could try it with a wider grip on a dowel or skip if painful. People with very tight lats/triceps might feel it intensely in the armpit area; again, go gradually. Maintain a slight pelvic tilt (don't overly arch the lower back) the goal is to extend upper back, not hyperextend lower back. Breath: exhale as you sink deeper, which can help you relax into it. If any sharp pain (especially in spine), stop a mild discomfort or muscle stretch sensation is fine, but joint pain is not.",cat-cow|child-pose,general-fitness
reverse-lunge-leg-kick,Reverse Lunge Leg Kick,"Step back into a reverse lunge, then push up and immediately kick the back leg forward into a front kick. Return to standing and repeat (alternating or same side).",repetition_based,,quads|glutes|hamstrings|hip-flexors,,"Combines lower-body strength and balance from the reverse lunge with explosive power and dynamic flexibility from the front kick. The lunge portion works quads, glutes, and hamstrings of the front leg, building strength and stability. Transitioning into a leg kick activates the hip flexors and quadriceps of the kicking leg and requires core engagement for balance. This improves coordination and agility, as you move from a controlled movement to an explosive one. It also raises heart rate, adding a cardio element. For athletes, it mimics actions needed in sports (lunging and quickly extending the leg). Over time, it enhances single-leg stability (on the supporting leg during the kick) and develops better neuromuscular control, while also providing a mobility benefit through the high kick. It's a functional move bridging strength and martial skill.","Master standard reverse lunges first (with good knee tracking and posture) before adding the kick. During the kick, don't hyperextend your knee snap it forward but stop at near full extension to protect the joint. If your balance is shaky, perform the move slowly: lunge, then as you stand, do a controlled knee-up instead of a full kick initially. Be mindful of the supporting knee; do not twist on it when kicking, you naturally turn the supporting foot out a bit. Those with knee issues should monitor how deep they lunge and perhaps limit the speed of the kick. Clear your surroundings; you're effectively doing a front snap kick and need space. Ensure you engage your core when kicking to avoid arching your back. Breathing: exhale sharply on the kick (like martial artists kiai) to keep it strong and controlled.",jump-lunges|high-knees,general-fitness
